date,btc
7/22/2014,618.54
7/23/2014,619
7/24/2014,603.98
7/25/2014,600.47
7/26/2014,593.82
7/27/2014,591.55
7/28/2014,583.5
7/29/2014,583
7/30/2014,565.99
7/31/2014,580
8/1/2014,594.6
8/2/2014,587.6
8/3/2014,585.71
8/4/2014,586.6
8/5/2014,582.94
8/6/2014,581.36
8/7/2014,586.8
8/8/2014,590.6
8/9/2014,589.98
8/10/2014,588.61
8/11/2014,572.51
8/12/2014,569.54
8/13/2014,547.3
8/14/2014,510.98
8/15/2014,496.39
8/16/2014,519.01
8/17/2014,497.4
8/18/2014,467.04
8/19/2014,487
8/20/2014,511
8/21/2014,517.47
8/22/2014,514.13
8/23/2014,499.5
8/24/2014,510.82
8/25/2014,501.76
8/26/2014,513.34
8/27/2014,508.35
8/28/2014,505.87
8/29/2014,508.52
8/30/2014,499.15
8/31/2014,477.81
9/1/2014,472.6
9/2/2014,475.45
9/3/2014,474.14
9/4/2014,489.68
9/5/2014,481.9
9/6/2014,482.61
9/7/2014,479.88
9/8/2014,471.1
9/9/2014,473.06
9/10/2014,478.12
9/11/2014,477.38
9/12/2014,474.37
9/13/2014,478.69
9/14/2014,476.5
9/15/2014,474.77
9/16/2014,466.5
9/17/2014,458.3
9/18/2014,424.99
9/19/2014,393.3
9/20/2014,408.4
9/21/2014,399.21
9/22/2014,404.99
9/23/2014,438.65
9/24/2014,424.51
9/25/2014,409.86
9/26/2014,404.01
9/27/2014,399.8
9/28/2014,376.7
9/29/2014,373.64
9/30/2014,387
10/1/2014,383.63
10/2/2014,371.39
10/3/2014,359.74
10/4/2014,328.25
10/5/2014,319.9
10/6/2014,327.56
10/7/2014,335.97
10/8/2014,352.9
10/9/2014,364
10/10/2014,359.1
10/11/2014,360.66
10/12/2014,378.05
10/13/2014,391.2
10/14/2014,399
10/15/2014,394.2
10/16/2014,381.6
10/17/2014,382.48
10/18/2014,390.9
10/19/2014,388.02
10/20/2014,380.55
10/21/2014,384
10/22/2014,378.8
10/23/2014,357.87
10/24/2014,356.58
10/25/2014,344.62
10/26/2014,353.01
10/27/2014,349.01
10/28/2014,352.7
10/29/2014,333.58
10/30/2014,345.08
10/31/2014,336.82
11/1/2014,325.9
11/2/2014,323.82
11/3/2014,325
11/4/2014,329.66
11/5/2014,338.62
11/6/2014,350.48
11/7/2014,341.84
11/8/2014,345
11/9/2014,362.61
11/10/2014,366.07
11/11/2014,367.65
11/12/2014,433.56
11/13/2014,417.65
11/14/2014,399.99
11/15/2014,375.34
11/16/2014,391.65
11/17/2014,387.5
11/18/2014,372.85
11/19/2014,375.26
11/20/2014,356.77
11/21/2014,350.46
11/22/2014,352.81
11/23/2014,368.25
11/24/2014,376.05
11/25/2014,377.02
11/26/2014,369.99
11/27/2014,370
11/28/2014,377.43
11/29/2014,376.28
11/30/2014,379.89
12/1/2014,382
12/2/2014,384.5
12/3/2014,376
12/4/2014,370.99
12/5/2014,378.18
12/6/2014,376.69
12/7/2014,376.02
12/8/2014,362.11
12/9/2014,351.99
12/10/2014,345.08
12/11/2014,348.53
12/12/2014,352.29
12/13/2014,346.56
12/14/2014,353.65
12/15/2014,346.01
12/16/2014,325.1
12/17/2014,318.86
12/18/2014,311.77
12/19/2014,318.47
12/20/2014,329.66
12/21/2014,320.79
12/22/2014,332.63
12/23/2014,335.7
12/24/2014,322.61
